ID;DICTIONARY_TYPE;DICTIONARY_KEY;DICTIONARY_VALUE
217;CLASSROOM;C116;C116
218;CLASSROOM;C117;C117
219;CLASSROOM;C118;C118
220;CLASSROOM;C119;C119
221;CLASSROOM;C120;C120
222;CLASSROOM;C121;C121
223;CLASSROOM;C122;C122
224;CLASSROOM;C123;C123
225;CLASSROOM;C124;C124
226;CLASSROOM;C125;C125
227;CLASSROOM;C126;C126
228;CLASSROOM;C127;C127
229;CLASSROOM;C128;C128
230;CLASSROOM;C129;C129
231;CLASSROOM;C130;C130
232;CLASSROOM;C131;C131
233;CLASSROOM;C132;C132
234;CLASSROOM;C133;C133
235;CLASSROOM;C134;C134
236;CLASSROOM;C135;C135
237;CLASSROOM;C136;C136
238;CLASSROOM;C137;C137
239;CLASSROOM;C138;C138
240;CLASSROOM;C139;C139
241;CLASSROOM;C140;C140
242;CLASSROOM;C141;C141
243;CLASSROOM;C142;C142
244;CLASSROOM;C143;C143
245;CLASSROOM;C144;C144
246;CLASSROOM;C145;C145
247;CLASSROOM;C146;C146
248;CLASSROOM;C147;C147
249;CLASSROOM;C148;C148
250;CLASSROOM;C149;C149
251;CLASSROOM;C150;C150
252;CLASSROOM;C151;C151
253;CLASSROOM;C152;C152
254;CLASSROOM;C153;C153
255;CLASSROOM;C154;C154
256;CLASSROOM;C155;C155
257;CLASSROOM;C156;C156
258;CLASSROOM;C157;C157
259;CLASSROOM;C158;C158
260;CLASSROOM;C159;C159
261;CLASSROOM;C160;C160
262;CLASSROOM;C161;C161
263;CLASSROOM;C162;C162
264;CLASSROOM;C163;C163
265;CLASSROOM;C164;C164
266;CLASSROOM;C165;C165
267;CLASSROOM;C166;C166
268;CLASSROOM;C167;C167
269;CLASSROOM;C168;C168
270;CLASSROOM;C169;C169
271;CLASSROOM;C170;C170
272;CLASSROOM;C171;C171
273;CLASSROOM;C172;C172
274;CLASSROOM;C173;C173
275;CLASSROOM;C174;C174
276;CLASSROOM;C175;C175
277;CLASSROOM;C176;C176
278;CLASSROOM;C177;C177
279;CLASSROOM;C178;C178
280;CLASSROOM;C179;C179
281;CLASSROOM;C180;C180
282;CLASSROOM;C181;C181
283;CLASSROOM;C182;C182
284;CLASSROOM;C183;C183
285;CLASSROOM;C184;C184
286;CLASSROOM;C185;C185
287;CLASSROOM;C186;C186
288;CLASSROOM;C187;C187
289;CLASSROOM;C188;C188
290;CLASSROOM;C189;C189
291;CLASSROOM;C190;C190
292;CLASSROOM;C191;C191
293;CLASSROOM;C192;C192
294;CLASSROOM;C193;C193
295;CLASSROOM;C194;C194
296;CLASSROOM;C195;C195
297;CLASSROOM;C196;C196
298;CLASSROOM;C197;C197
299;CLASSROOM;C198;C198
300;CLASSROOM;C199;C199
302;PROFESSOR;Аббясов Алексей Михайлович;Аббясов Алексей Михайлович
303;PROFESSOR;Аксаковская Любовь Николаевна;Аксаковская Любовь Николаевна
304;PROFESSOR;Алейников Алексей Владимирович;Алейников Алексей Владимирович
305;PROFESSOR;Алексинский Сергей Олегович;Алексинский Сергей Олегович
306;PROFESSOR;Алыкова Алевтина Леонидовна;Алыкова Алевтина Леонидовна
307;PROFESSOR;Андрианов Сергей Геннадьевич;Андрианов Сергей Геннадьевич
308;PROFESSOR;Анисимов Анатолий Анатольевич;Анисимов Анатолий Анатольевич
309;PROFESSOR;Антонова Оксана Владимировна;Антонова Оксана Владимировна
310;PROFESSOR;Аполонский Владимир Викторович;Аполонский Владимир Викторович
311;PROFESSOR;Аржанникова Александра Евгеньевна;Аржанникова Александра Евгеньевна
312;PROFESSOR;Артамонов Михаил Анатольевич;Артамонов Михаил Анатольевич
313;PROFESSOR;Ахалкова Ирина Александровна;Ахалкова Ирина Александровна
314;PROFESSOR;Бабикова Людмила Геннадьевна;Бабикова Людмила Геннадьевна
315;PROFESSOR;Бадоев Владимир Ахметович;Бадоев Владимир Ахметович
316;PROFESSOR;Баженов Владимир Сергеевич;Баженов Владимир Сергеевич
317;PROFESSOR;Балдов Сергей Владимирович;Балдов Сергей Владимирович
318;PROFESSOR;Баллод Борис Анатольевич;Баллод Борис Анатольевич
319;PROFESSOR;Банников Александр Васильевич;Банников Александр Васильевич
320;PROFESSOR;Банникова Светлана Андреевна;Банникова Светлана Андреевна
321;PROFESSOR;Барочкин Алексей Евгеньевич;Барочкин Алексей Евгеньевич
322;PROFESSOR;Барочкин Евгений Витальевич;Барочкин Евгений Витальевич
323;PROFESSOR;Басова Елена Владимировна;Басова Елена Владимировна
324;PROFESSOR;Батаева Вера Владимировна;Батаева Вера Владимировна
325;PROFESSOR;Башмакова Елена Валерьевна;Башмакова Елена Валерьевна
326;PROFESSOR;Белов Евгений Борисович;Белов Евгений Борисович
327;PROFESSOR;Белов Михаил Сергеевич;Белов Михаил Сергеевич
328;PROFESSOR;Белоногов Владимир Григорьевич;Белоногов Владимир Григорьевич
329;PROFESSOR;Беляев Георгий Владимирович;Беляев Георгий Владимирович
330;PROFESSOR;Беляков Андрей Александрович;Беляков Андрей Александрович
331;PROFESSOR;Беляков Антон Николаевич;Беляков Антон Николаевич
332;PROFESSOR;Битеряков Юрий Федорович;Битеряков Юрий Федорович
333;PROFESSOR;Блинов Олег Владимирович;Блинов Олег Владимирович
334;PROFESSOR;Бородулина Ольга Владимировна;Бородулина Ольга Владимировна
335;PROFESSOR;Борута Сергей Сергеевич;Борута Сергей Сергеевич
336;PROFESSOR;Братолюбов Александр Александрович;Братолюбов Александр Александрович
337;PROFESSOR;Бубнов Кирилл Николаевич;Бубнов Кирилл Николаевич
338;PROFESSOR;Буданов Виталий Александрович;Буданов Виталий Александрович
339;PROFESSOR;Будник Галина Анатольевна;Будник Галина Анатольевна
340;PROFESSOR;Буйлов Павел Витальевич;Буйлов Павел Витальевич
341;PROFESSOR;Булавкин Георгий Викторович;Булавкин Георгий Викторович
342;PROFESSOR;Булатова Елена Евгеньевна;Булатова Елена Евгеньевна
343;PROFESSOR;Бутырина Марина Валентиновна;Бутырина Марина Валентиновна
344;PROFESSOR;Бухмиров Вячеслав Викторович;Бухмиров Вячеслав Викторович
345;PROFESSOR;Бушуев Евгений Николаевич;Бушуев Евгений Николаевич
346;PROFESSOR;Бушуева Наталия Всеволодовна;Бушуева Наталия Всеволодовна
347;PROFESSOR;Бушуева Ольга Александровна;Бушуева Ольга Александровна
348;PROFESSOR;Васильев Сергей Владимирович;Васильев Сергей Владимирович
349;PROFESSOR;Васильева Мария Артуровна;Васильева Мария Артуровна
350;PROFESSOR;Ведерникова Ирина Игоревна;Ведерникова Ирина Игоревна
351;PROFESSOR;Веселова Ирина Евгеньевна;Веселова Ирина Евгеньевна
352;PROFESSOR;Вилков Павел Вячеславович;Вилков Павел Вячеславович
353;PROFESSOR;Виноградов Анатолий Брониславович;Виноградов Анатолий Брониславович
354;PROFESSOR;Виноградов Андрей Львович;Виноградов Андрей Львович
355;PROFESSOR;Виноградов Владимир Николаевич;Виноградов Владимир Николаевич
356;PROFESSOR;Виноградова Людмила Владимировна;Виноградова Людмила Владимировна
357;PROFESSOR;Вихарев Алексей Владимирович;Вихарев Алексей Владимирович
358;PROFESSOR;Власов Алексей Михайлович;Власов Алексей Михайлович
359;PROFESSOR;Волкова Маргарита Юрьевна;Волкова Маргарита Юрьевна
360;PROFESSOR;Вольман Мария Андреевна;Вольман Мария Андреевна
361;PROFESSOR;Воробьев Сергей Викторович;Воробьев Сергей Викторович
362;PROFESSOR;Воробьева Екатерина Андреевна;Воробьева Екатерина Андреевна
363;PROFESSOR;Воронова Алла Степановна;Воронова Алла Степановна
364;PROFESSOR;Вылгина Юлия Вадимовна;Вылгина Юлия Вадимовна
365;PROFESSOR;Габитов Рамиль Наилевич;Габитов Рамиль Наилевич
366;PROFESSOR;Гаврилов Роман Владимирович;Гаврилов Роман Владимирович
367;PROFESSOR;Гагина Марина Павловна;Гагина Марина Павловна
368;PROFESSOR;Гадалов Александр Борисович;Гадалов Александр Борисович
369;PROFESSOR;Гайдина Юлия Александровна;Гайдина Юлия Александровна
370;PROFESSOR;Ганджаев Дмитрий Ильгарович;Ганджаев Дмитрий Ильгарович
371;PROFESSOR;Гаськов Александр Константинович;Гаськов Александр Константинович
372;PROFESSOR;Гвоздева Татьяна Вадимовна;Гвоздева Татьяна Вадимовна
373;PROFESSOR;Герман Ольга Федоровна;Герман Ольга Федоровна
374;PROFESSOR;Гильмутдинов Юрий Абдулазамович;Гильмутдинов Юрий Абдулазамович
375;PROFESSOR;Гнатюк Анна Борисовна;Гнатюк Анна Борисовна
376;PROFESSOR;Гнездов Николай Евгеньевич;Гнездов Николай Евгеньевич
377;PROFESSOR;Головко Константин Викторович;Головко Константин Викторович
378;PROFESSOR;Голубев Александр Николаевич;Голубев Александр Николаевич
379;PROFESSOR;Голубев Алексей Константинович;Голубев Алексей Константинович
380;PROFESSOR;Голубев Антон Владимирович;Голубев Антон Владимирович
381;PROFESSOR;Голубева Лариса Владимировна;Голубева Лариса Владимировна
382;PROFESSOR;Голубков Всеволод Владимирович;Голубков Всеволод Владимирович
383;PROFESSOR;Горбунов Александр Геннадьевич;Горбунов Александр Геннадьевич
384;PROFESSOR;Горбунов Владимир Александрович;Горбунов Владимир Александрович
385;PROFESSOR;Гордеева Елена Геннадьевна;Гордеева Елена Геннадьевна
386;PROFESSOR;Горинов Олег Иванович;Горинов Олег Иванович
387;PROFESSOR;Горшенин Сергей Дмитриевич;Горшенин Сергей Дмитриевич
388;PROFESSOR;Григорьев Евгений Юрьевич;Григорьев Евгений Юрьевич
389;PROFESSOR;Григорян Алла Юрьевна;Григорян Алла Юрьевна
390;PROFESSOR;Грубов Евгений Олегович;Грубов Евгений Олегович
391;PROFESSOR;Грубова Юлия Владимировна;Грубова Юлия Владимировна
392;PROFESSOR;Гусев Евгений Валентинович;Гусев Евгений Валентинович
393;PROFESSOR;Гусенкова Наталья Павловна;Гусенкова Наталья Павловна
394;PROFESSOR;Демин Александр Матвеевич;Демин Александр Матвеевич
395;PROFESSOR;Демьянцева Наталья Григорьевна;Демьянцева Наталья Григорьевна
396;PROFESSOR;Добрягина Ольга Александровна;Добрягина Ольга Александровна
397;PROFESSOR;Долгих Иван Юрьевич;Долгих Иван Юрьевич
398;PROFESSOR;Долинин Денис Александрович;Долинин Денис Александрович
399;PROFESSOR;Дыдыкина Надежда Николаевна;Дыдыкина Надежда Николаевна
400;PROFESSOR;Дюповкин Николай Иванович;Дюповкин Николай Иванович
401;PROFESSOR;Евсеева Анна Владимировна;Евсеева Анна Владимировна
402;PROFESSOR;Егоров Валерий Николаевич;Егоров Валерий Николаевич
403;PROFESSOR;Егоров Сергей Анатольевич;Егоров Сергей Анатольевич
404;PROFESSOR;Егорова Анна Александровна;Егорова Анна Александровна
405;PROFESSOR;Егорова Надежда Евгеньевна;Егорова Надежда Евгеньевна
406;PROFESSOR;Егорычева Елена Валерьевна;Егорычева Елена Валерьевна
407;PROFESSOR;Елизарова Надежда Николаевна;Елизарова Надежда Николаевна
408;PROFESSOR;Елисеева Елена Николаевна;Елисеева Елена Николаевна
409;PROFESSOR;Еремин Илья Витальевич;Еремин Илья Витальевич
410;PROFESSOR;Еремина Наталья Александровна;Еремина Наталья Александровна
411;PROFESSOR;Ермакова Ирина Витальевна;Ермакова Ирина Витальевна
412;PROFESSOR;Ерофеева Ксения Леонидовна;Ерофеева Ксения Леонидовна
413;PROFESSOR;Ерпулёв Эдуард Викторович;Ерпулёв Эдуард Викторович
414;PROFESSOR;Ефремова Наталия Владимировна;Ефремова Наталия Владимировна
415;PROFESSOR;Жуков Владимир Павлович;Жуков Владимир Павлович
416;PROFESSOR;Журавлев Евгений Владимирович;Журавлев Евгений Владимирович
417;PROFESSOR;Журавлева Ирина Валерьевна;Журавлева Ирина Валерьевна
418;PROFESSOR;Зайцева Екатерина Владимировна;Зайцева Екатерина Владимировна
419;PROFESSOR;Залипаева Елена Анатольевна;Залипаева Елена Анатольевна
420;PROFESSOR;Зарубин Захар Викторович;Зарубин Захар Викторович
421;PROFESSOR;Захаров Вадим Михайлович;Захаров Вадим Михайлович
422;PROFESSOR;Захаров Михаил Алексеевич;Захаров Михаил Алексеевич
423;PROFESSOR;Захарьян Наталья Алексеевна;Захарьян Наталья Алексеевна
424;PROFESSOR;Зиновьева Екатерина Витальевна;Зиновьева Екатерина Витальевна
425;PROFESSOR;Зорин Михаил Юрьевич;Зорин Михаил Юрьевич
426;PROFESSOR;Зубков Валентин Петрович;Зубков Валентин Петрович
427;PROFESSOR;Иванов Игорь Евгеньевич;Иванов Игорь Евгеньевич
428;PROFESSOR;Иванова Надежда Геннадьевна;Иванова Надежда Геннадьевна
429;PROFESSOR;Иванова Наталья Борисовна;Иванова Наталья Борисовна
430;PROFESSOR;Иванова Ольга Евгеньевна;Иванова Ольга Евгеньевна
431;PROFESSOR;Игнатьев Евгений Борисович;Игнатьев Евгений Борисович
432;PROFESSOR;Игошин Иван Петрович;Игошин Иван Петрович
433;PROFESSOR;Ильина Евгения Эдуардовна;Ильина Евгения Эдуардовна
434;PROFESSOR;Ильичев Николай Борисович;Ильичев Николай Борисович
435;PROFESSOR;Ильченко Александр Георгиевич;Ильченко Александр Георгиевич
436;PROFESSOR;Ионов Александр Валентинович;Ионов Александр Валентинович
437;PROFESSOR;Кабанов Олег Альбертович;Кабанов Олег Альбертович
438;PROFESSOR;Казаков Юрий Борисович;Казаков Юрий Борисович
439;PROFESSOR;Капустин Сергей Алексеевич;Капустин Сергей Алексеевич
440;PROFESSOR;Карандашев Андрей Платонович;Карандашев Андрей Платонович
441;PROFESSOR;Караулов Виктор Николаевич;Караулов Виктор Николаевич
442;PROFESSOR;Карачёв Валерий Дмитриевич;Карачёв Валерий Дмитриевич
443;PROFESSOR;Каржевин Андрей Александрович;Каржевин Андрей Александрович
444;PROFESSOR;Карпычев Евгений Александрович;Карпычев Евгений Александрович
445;PROFESSOR;Карякин Александр Михайлович;Карякин Александр Михайлович
446;PROFESSOR;Киселев Андрей Игоревич;Киселев Андрей Игоревич
447;PROFESSOR;Киселев Владимир Юрьевич;Киселев Владимир Юрьевич
448;PROFESSOR;Клочкова Наталия Владимировна;Клочкова Наталия Владимировна
449;PROFESSOR;Кожевников Сергей Олегович;Кожевников Сергей Олегович
450;PROFESSOR;Козлова Мария Владимировна;Козлова Мария Владимировна
451;PROFESSOR;Кокин Владимир Модестович;Кокин Владимир Модестович
452;PROFESSOR;Кокошенко Виталий Степанович;Кокошенко Виталий Степанович
453;PROFESSOR;Кокулин Илья Андреевич;Кокулин Илья Андреевич
