ID;DICTIONARY_TYPE;DICTIONARY_KEY;DICTIONARY_VALUE
532;PROFESSOR;Морозов Николай Александрович;Морозов Николай Александрович
533;PROFESSOR;Морозова Алина Андреевна;Морозова Алина Андреевна
534;PROFESSOR;Мочалов Александр Сергеевич;Мочалов Александр Сергеевич
535;PROFESSOR;Мошкарина Мария Вячеславовна;Мошкарина Мария Вячеславовна
536;PROFESSOR;Мукучян Арман Арсенович;Мукучян Арман Арсенович
537;PROFESSOR;Муравьев Игорь Константинович;Муравьев Игорь Константинович
538;PROFESSOR;Мурзин Андрей Юрьевич;Мурзин Андрей Юрьевич
539;PROFESSOR;Мягков Александр Юрьевич;Мягков Александр Юрьевич
540;PROFESSOR;Нагорная Ольга Юрьевна;Нагорная Ольга Юрьевна
541;PROFESSOR;Наумов Юрий Владимирович;Наумов Юрий Владимирович
542;PROFESSOR;Наумова Елена Александровна;Наумова Елена Александровна
543;PROFESSOR;Невмятуллина Надиря Бариевна;Невмятуллина Надиря Бариевна
544;PROFESSOR;Нестеров Денис Александрович;Нестеров Денис Александрович
545;PROFESSOR;Нестеров Сергей Александрович;Нестеров Сергей Александрович
546;PROFESSOR;Никоноров Андрей Николаевич;Никоноров Андрей Николаевич
547;PROFESSOR;Новиков Владислав Витальевич;Новиков Владислав Витальевич
548;PROFESSOR;Новожилова Светлана Аруновна;Новожилова Светлана Аруновна
549;PROFESSOR;Новоселов Евгений Михайлович;Новоселов Евгений Михайлович
550;PROFESSOR;Ноздрин Михаил Александрович;Ноздрин Михаил Александрович
551;PROFESSOR;Обуховский Юрий Борисович;Обуховский Юрий Борисович
552;PROFESSOR;Овсянников Юрий Михайлович;Овсянников Юрий Михайлович
553;PROFESSOR;Огурцов Антон Валерьевич;Огурцов Антон Валерьевич
554;PROFESSOR;Огурцов Федор Борисович;Огурцов Федор Борисович
555;PROFESSOR;Олейник Олег Юрьевич;Олейник Олег Юрьевич
556;PROFESSOR;Ольхович Анатолий Васильевич;Ольхович Анатолий Васильевич
557;PROFESSOR;Орлова Евгения Валерьевна;Орлова Евгения Валерьевна
558;PROFESSOR;Осадчий Дмитрий Юрьевич;Осадчий Дмитрий Юрьевич
559;PROFESSOR;Осколкова Ирина Альбертовна;Осколкова Ирина Альбертовна
560;PROFESSOR;Павлюкова Наталья Леонидовна;Павлюкова Наталья Леонидовна
561;PROFESSOR;Падылина Александра Леонидовна;Падылина Александра Леонидовна
562;PROFESSOR;Палилов Илья Аркадьевич;Палилов Илья Аркадьевич
563;PROFESSOR;Панков Сергей Алексеевич;Панков Сергей Алексеевич
564;PROFESSOR;Панкратова Мария Владимировна;Панкратова Мария Владимировна
565;PROFESSOR;Пантелеев Евгений Рафаилович;Пантелеев Евгений Рафаилович
566;PROFESSOR;Пекунова Анна Витальевна;Пекунова Анна Витальевна
567;PROFESSOR;Пелин Артем Александрович;Пелин Артем Александрович
568;PROFESSOR;Петров Алексей Евгеньевич;Петров Алексей Евгеньевич
569;PROFESSOR;Петрунин Валентин Васильевич;Петрунин Валентин Васильевич
570;PROFESSOR;Печерикин Алексей Владимирович;Печерикин Алексей Владимирович
571;PROFESSOR;Плетников Сергей Борисович;Плетников Сергей Борисович
572;PROFESSOR;Полкошников Денис Андреевич;Полкошников Денис Андреевич
573;PROFESSOR;Попов Геннадий Васильевич;Попов Геннадий Васильевич
574;PROFESSOR;Потапова Маргарита Юрьевна;Потапова Маргарита Юрьевна
575;PROFESSOR;Пронин Владимир Юрьевич;Пронин Владимир Юрьевич
576;PROFESSOR;Пронин Николай Николаевич;Пронин Николай Николаевич
577;PROFESSOR;Прохорова Наталия Владимировна;Прохорова Наталия Владимировна
578;PROFESSOR;Пышненко Елена Анатольевна;Пышненко Елена Анатольевна
579;PROFESSOR;Работаев Владимир Григорьевич;Работаев Владимир Григорьевич
580;PROFESSOR;Раева Татьяна Дмитриевна;Раева Татьяна Дмитриевна
581;PROFESSOR;Ракутина Дарья Валериевна;Ракутина Дарья Валериевна
582;PROFESSOR;Ратманова Ирина Дмитриевна;Ратманова Ирина Дмитриевна
583;PROFESSOR;Рафиков Вадим Русланович;Рафиков Вадим Русланович
584;PROFESSOR;Рогожников Юрий Юрьевич;Рогожников Юрий Юрьевич
585;PROFESSOR;Родин Никита Андреевич;Родин Никита Андреевич
586;PROFESSOR;Родионова Мария Владимировна;Родионова Мария Владимировна
587;PROFESSOR;Розин Евгений Геннадьевич;Розин Евгений Геннадьевич
588;PROFESSOR;Романов Александр Геннадьевич;Романов Александр Геннадьевич
589;PROFESSOR;Романова Инна Сергеевна;Романова Инна Сергеевна
590;PROFESSOR;Романова Наталья Рудольфовна;Романова Наталья Рудольфовна
591;PROFESSOR;Романова Ольга Анатольевна;Романова Ольга Анатольевна
592;PROFESSOR;Рубцов Дмитрий Валерьевич;Рубцов Дмитрий Валерьевич
593;PROFESSOR;Рудаков Николай Владимирович;Рудаков Николай Владимирович
594;PROFESSOR;Руцын Сергей Витальевич;Руцын Сергей Витальевич
595;PROFESSOR;Рыжков Павел Александрович;Рыжков Павел Александрович
596;PROFESSOR;Рябова Елена Ильгизовна;Рябова Елена Ильгизовна
597;PROFESSOR;Сабанеев Николай Андреевич;Сабанеев Николай Андреевич
598;PROFESSOR;Савельев Виталий Андреевич;Савельев Виталий Андреевич
599;PROFESSOR;Садыков Артур Мунавирович;Садыков Артур Мунавирович
600;PROFESSOR;Сайкин Михаил Сергеевич;Сайкин Михаил Сергеевич
601;PROFESSOR;Салахутдинов Наиль Васимович;Салахутдинов Наиль Васимович
602;PROFESSOR;Самсонов Дмитрий Алексеевич;Самсонов Дмитрий Алексеевич
603;PROFESSOR;Самышина Ольга Васильевна;Самышина Ольга Васильевна
604;PROFESSOR;Сафина Наиля Набиулловна;Сафина Наиля Набиулловна
605;PROFESSOR;Семенов Владимир Константинович;Семенов Владимир Константинович
606;PROFESSOR;Сенников Владимир Васильевич;Сенников Владимир Васильевич
607;PROFESSOR;Сергеева Ольга Владимировна;Сергеева Ольга Владимировна
608;PROFESSOR;Сидоров Андрей Александрович;Сидоров Андрей Александрович
609;PROFESSOR;Сидоров Сергей Георгиевич;Сидоров Сергей Георгиевич
610;PROFESSOR;Сидорова Ирина Николаевна;Сидорова Ирина Николаевна
611;PROFESSOR;Сироткин Алексей Сергеевич;Сироткин Алексей Сергеевич
612;PROFESSOR;Скоробогатов Андрей Александрович;Скоробогатов Андрей Александрович
613;PROFESSOR;Словесный Сергей Алексеевич;Словесный Сергей Алексеевич
614;PROFESSOR;Смельчакова Елена Владимировна;Смельчакова Елена Владимировна
615;PROFESSOR;Смирнов Владимир Владимирович;Смирнов Владимир Владимирович
616;PROFESSOR;Смирнов Николай Николаевич;Смирнов Николай Николаевич
617;PROFESSOR;Смирнов Станислав Федорович;Смирнов Станислав Федорович
618;PROFESSOR;Смирнова Юлия Михайловна;Смирнова Юлия Михайловна
619;PROFESSOR;Созинова Татьяна Евгеньевна;Созинова Татьяна Евгеньевна
620;PROFESSOR;Соколов Александр Михайлович;Соколов Александр Михайлович
621;PROFESSOR;Соколов Анатолий Константинович;Соколов Анатолий Константинович
622;PROFESSOR;Сокольский Анатолий Иванович;Сокольский Анатолий Иванович
623;PROFESSOR;Соломаничев Михаил Александрович;Соломаничев Михаил Александрович
624;PROFESSOR;Солунин Михаил Альбертович;Солунин Михаил Альбертович
625;PROFESSOR;Сорокин Александр Федорович;Сорокин Александр Федорович
626;PROFESSOR;Сорокина Ксения Олеговна;Сорокина Ксения Олеговна
627;PROFESSOR;Сороковнин Марк Евгеньевич;Сороковнин Марк Евгеньевич
628;PROFESSOR;Спичков Юрий Петрович;Спичков Юрий Петрович
629;PROFESSOR;Ставров Сергей Геннадьевич;Ставров Сергей Геннадьевич
630;PROFESSOR;Ставровский Евгений Сергеевич;Ставровский Евгений Сергеевич
631;PROFESSOR;Староверова Екатерина Борисовна;Староверова Екатерина Борисовна
632;PROFESSOR;Степанов Владимир Федорович;Степанов Владимир Федорович
633;PROFESSOR;Степанов Сергей Гаевич;Степанов Сергей Гаевич
634;PROFESSOR;Страхов Александр Станиславович;Страхов Александр Станиславович
635;PROFESSOR;Строев Виктор Павлович;Строев Виктор Павлович
636;PROFESSOR;Студенов Виталий Викторович;Студенов Виталий Викторович
637;PROFESSOR;Сулыненков Илья Николаевич;Сулыненков Илья Николаевич
638;PROFESSOR;Тарарыкин Сергей Вячеславович;Тарарыкин Сергей Вячеславович
639;PROFESSOR;Тарасов Сергей Викторович;Тарасов Сергей Викторович
640;PROFESSOR;Тарасова Анна Сергеевна;Тарасова Анна Сергеевна
641;PROFESSOR;Тверской Юрий Семенович;Тверской Юрий Семенович
642;PROFESSOR;Теплякова Светлана Сергеевна;Теплякова Светлана Сергеевна
643;PROFESSOR;Терехов Анатолий Иванович;Терехов Анатолий Иванович
644;PROFESSOR;Терехов Владимир Григорьевич;Терехов Владимир Григорьевич
645;PROFESSOR;Терехова Наталья Руфимовна;Терехова Наталья Руфимовна
646;PROFESSOR;Тимошин Леонид Иванович;Тимошин Леонид Иванович
647;PROFESSOR;Тихов Максим Евгеньевич;Тихов Максим Евгеньевич
648;PROFESSOR;Тихомирова Ирина Александровна;Тихомирова Ирина Александровна
649;PROFESSOR;Тихонов Андрей Ильич;Тихонов Андрей Ильич
650;PROFESSOR;Тихонова Анна Сергеевна;Тихонова Анна Сергеевна
651;PROFESSOR;Токарева Галина Вячеславовна;Токарева Галина Вячеславовна
652;PROFESSOR;Токов Александр Юрьевич;Токов Александр Юрьевич
653;PROFESSOR;Торопова Елена Константиновна;Торопова Елена Константиновна
654;PROFESSOR;Третьякова Ирина Юрьевна;Третьякова Ирина Юрьевна
655;PROFESSOR;Туманова Кира Николаевна;Туманова Кира Николаевна
656;PROFESSOR;Туркова Любовь Юрьевна;Туркова Любовь Юрьевна
657;PROFESSOR;Тыркин Роман Николаевич;Тыркин Роман Николаевич
658;PROFESSOR;Тюрина Светлана Юрьевна;Тюрина Светлана Юрьевна
659;PROFESSOR;Угрюмова Ольга Ильгизовна;Угрюмова Ольга Ильгизовна
660;PROFESSOR;Умнов Ярослав Александрович;Умнов Ярослав Александрович
661;PROFESSOR;Ухалова Елена Геннадьевна;Ухалова Елена Геннадьевна
662;PROFESSOR;Ушакова Наталья Викторовна;Ушакова Наталья Викторовна
663;PROFESSOR;Фадеева Марина Сергеевна;Фадеева Марина Сергеевна
664;PROFESSOR;Фалина Вера Александровна;Фалина Вера Александровна
665;PROFESSOR;Федоров Юрий Александрович;Федоров Юрий Александрович
666;PROFESSOR;Федорова Алёна Юрьевна;Федорова Алёна Юрьевна
667;PROFESSOR;Филатов Алексей Александрович;Филатов Алексей Александрович
668;PROFESSOR;Филатова Галина Андреевна;Филатова Галина Андреевна
669;PROFESSOR;Филатова Марина Вячеславовна;Филатова Марина Вячеславовна
670;PROFESSOR;Филиппов Василий Александрович;Филиппов Василий Александрович
671;PROFESSOR;Филюшкин Александр Владимирович;Филюшкин Александр Владимирович
672;PROFESSOR;Фомина Ольга Владимировна;Фомина Ольга Владимировна
673;PROFESSOR;Фомичёв Андрей Альбертович;Фомичёв Андрей Альбертович
674;PROFESSOR;Фролова Ольга Васильевна;Фролова Ольга Васильевна
